baseline_date,projected_fiscal_year,debt_billions,GDP,debt_pct_GDP
1984-02-01,1988,2316.0,5138.55,45.07108036313746
1985-02-01,1989,2519.0,5554.675,45.34918784627363
1986-02-01,1990,2331.0,5898.75,39.51684678957406
1987-02-01,1991,2485.0,6093.175,40.78333545319148
1988-03-01,1992,2700.0,6416.25,42.08065458796026
1989-02-01,1993,2758.0,6775.325,40.70653437288986
1990-03-01,1994,2878.0,7176.85,40.10115858628785
1991-03-01,1995,3451.0,7560.425,45.64558209359924
1992-03-01,1996,4061.0,7951.325,51.07324879815628
1993-03-01,1997,4484.0,8451.025,53.05865264864321
1994-04-01,1998,4260.0,8930.8,47.7000940565235
1995-04-01,1999,4621.0,9479.625,48.746654007938076
1996-05-01,2000,4687.0,10117.075,46.327619395922234
1997-03-01,2001,4534.0,10525.725,43.075417607813236
1998-03-01,2002,3743.0,10828.875,34.56499405524581
1999-04-01,2003,2979.0,11278.75,26.412501385348552
2000-04-01,2004,2285.0,12028.425,18.996668308610644
2001-05-01,2005,1738.0,12839.95,13.535878254977627
2002-03-01,2006,3099.0,13636.75,22.725356114910078
2003-03-01,2007,4233.0,14305.375,29.590276382129094
2004-03-01,2008,5633.0,14796.575,38.06962084130956
2005-03-01,2009,5737.0,14467.3,39.654945981627534
2006-03-01,2010,5934.0,14884.4,39.86724355701271
2007-03-01,2011,5502.0,15466.525,35.57360169786038
2008-03-01,2012,5845.0,16109.425,36.28310755970496
2009-03-01,2013,10016.0,16687.775,60.01998468939088
2010-03-01,2014,11606.0,17428.1,66.59360458110753
2011-03-01,2015,13554.0,18164.25,74.61910070605722
2012-03-01,2016,13263.0,18641.325,71.14837598722194
2013-05-01,2017,14223.0,19375.175,73.40836921472967
2014-04-01,2018,15202.0,20436.325,74.38715131022823
2015-03-01,2019,15654.0,21286.15,73.54077651430624
2016-03-01,2020,16771.0,21336.775,78.60138188643785
2017-06-01,2021,18037.0,23044.05,78.27183155738683
2018-05-01,2022,20290.0,25565.375,79.36515697501014
2019-05-01,2023,20910.0,27397.95,76.31957865460737
2020-03-01,2024,22338.0,28947.9,77.16621931124537
2021-07-01,2025,26967.0,30362.025,88.81818653400094
2022-05-01,2026,28925.093,31902.0,90.66858817628989
2023-02-01,2027,32645.29,33315.0,97.98976437040372
2023-05-01,2027,32865.63,33315.0,98.6511481314723
2024-02-01,2028,35140.639,34666.0,101.36917729187101
2024-06-01,2028,35959.838,34666.0,103.73229677493798
2025-01-01,2029,37580.5,36010.0,104.36128853096362
