baseline_date,projected_fiscal_year,deficit_billions,GDP,deficit_pct_GDP
1984-02-01,1988,-287.7,5138.55,-5.598855708322386
1985-02-01,1989,-279.571,5554.675,-5.033075742505187
1986-02-01,1990,-121.316,5898.75,-2.0566391184573
1987-02-01,1991,-109.498,6093.175,-1.7970598251322176
1988-03-01,1992,-153.926,6416.25,-2.399002532631989
1989-02-01,1993,-135.178,6775.325,-1.9951515240966302
1990-03-01,1994,-121.459,7176.85,-1.6923720016441754
1991-03-01,1995,-68.765,7560.425,-0.9095388156089108
1992-01-01,1996,-178.297,7951.325,-2.2423558337761316
1992-03-01,1996,-188.831,7951.325,-2.374836898252807
1992-08-01,1996,-254.387,7951.325,-3.1993032607772918
1993-01-01,1997,-319.212,8451.025,-3.77719862383557
1993-03-01,1997,-321.679,8451.025,-3.8063903490996656
1993-09-01,1997,-198.136,8451.025,-2.344520339248789
1994-01-01,1998,-180.009,8930.8,-2.01559770681238
1994-04-01,1998,-187.233,8930.8,-2.096486317015273
1994-08-01,1998,-196.746,8930.8,-2.203005329869665
1995-01-01,1999,-253.221,9479.625,-2.671213260018197
1995-04-01,1999,-266.29,9479.625,-2.8090773632923245
1995-08-01,1999,-260.95,9479.625,-2.7527460210715082
1995-12-01,2000,-203.776,10117.075,-2.014178999364935
1996-05-01,2000,-244.414,10117.075,-2.4158563616460285
1997-01-01,2001,-167.192,10525.725,-1.5884131496880263
1997-03-01,2001,-166.64,10525.725,-1.5831688553520062
1997-09-01,2001,-36.223,10525.725,-0.344137814734852
1998-01-01,2002,69.4,10828.875,0.6408791310269996
1998-03-01,2002,66.747,10828.875,0.6163798178481144
1998-08-01,2002,138.613,10828.875,1.2800313975366786
1999-01-01,2003,209.447,11278.75,1.8570054305663306
1999-04-01,2003,212.626,11278.75,1.88519117810041
1999-07-01,2003,247.427,11278.75,2.1937448742103514
2000-01-01,2004,345.047,12028.425,2.8685966782849794
2000-04-01,2004,347.792,12028.425,2.8914176211765046
2000-07-01,2004,477.876,12028.425,3.9728892186632914
2001-01-01,2005,432.94,12839.95,3.371819983722678
2001-05-01,2005,436.787,12839.95,3.4017811595839547
2001-08-01,2005,244.39,12839.95,1.9033563214810023
2002-01-01,2006,127.881,13636.75,0.9377674299228188
2002-03-01,2006,135.396,13636.75,0.9928758685170587
2002-08-01,2006,15.172,13636.75,0.11125818101820448
