IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",1,"1950",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.473
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",2,"1951",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.461
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",3,"1952",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.473
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",4,"1953",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.495
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",5,"1954",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.544
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",6,"1955",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.565
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",7,"1956",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.569
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",8,"1957",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.574
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",9,"1958",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.569
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",10,"1959",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.766
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",11,"1960",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.736
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",12,"1961",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.799
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",13,"1962",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.697
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",14,"1963",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.598
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",15,"1964",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.533
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",16,"1965",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.387
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",17,"1966",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.266
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",18,"1967",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.175
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",19,"1968",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.115
51,"Rate of population change","Crude rate of total population change","World Population Prospects",2024,"United Nations Population Division",840,"United States of America","US","USA",20,"1969",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",1.127
