Dependent,Dependent_Desc,Fiscal,Fiscal_Desc,N,Coefficient,Std_Error,p_value,Effect_per_10pct,R_squared
threeff10,10Y Forward Rate (THREEFF10),debt_pct_GDP,Debt,38,0.018025499649174402,0.008801910430141828,0.040569049761236285,18.025499649174403,0.9196385926373223
threeff10,10Y Forward Rate (THREEFF10),deficit_pct_GDP,Deficit,38,-0.0855167319381362,0.05612484540705024,0.12758676430310784,-85.5167319381362,0.9148503140661427
fwd_5_10y,5-10Y Forward Rate,debt_pct_GDP,Debt,38,0.015035617658858538,0.008594115225840812,0.0802003470546791,15.035617658858538,0.9297911225569236
fwd_5_10y,5-10Y Forward Rate,deficit_pct_GDP,Deficit,38,-0.06926313441680693,0.051884707450560334,0.18189495610529882,-69.26313441680692,0.9266895754060906
dgs10,10Y Treasury Yield (DGS10),debt_pct_GDP,Debt,38,-0.00021670298480142795,0.008236103067254457,0.9790090026012983,-0.21670298480142794,0.9323151776560484
dgs10,10Y Treasury Yield (DGS10),deficit_pct_GDP,Deficit,38,0.013048808973102753,0.053657386290917576,0.8078601015195688,13.048808973102755,0.9323775070285396
acmtp10,10Y Term Premium (ACM),debt_pct_GDP,Debt,38,0.0236834811408589,0.012712603090272305,0.0624633554301126,23.683481140858902,0.7245159245078315
acmtp10,10Y Term Premium (ACM),deficit_pct_GDP,Deficit,38,-0.19340306088891607,0.0815301635516317,0.017684155976368993,-193.4030608889161,0.733165387573019
acmtp05,5Y Term Premium (ACM),debt_pct_GDP,Debt,38,0.01803485667246913,0.009836584844046328,0.06673612805843505,18.03485667246913,0.7256364140250251
acmtp05,5Y Term Premium (ACM),deficit_pct_GDP,Deficit,38,-0.15176665000325662,0.06406940157210662,0.017846615045452506,-151.76665000325661,0.7368884214015468
