dependent_var,dependent_name,fiscal_var,fiscal_name,model,coef,stderr,tstat,pval,r2,durbin_watson,n_obs
T10_yield,10-Year Treasury Yield,debt_pct_GDP,Debt (% GDP),Model 1: Fiscal,-0.01671774901895198,0.01176964269132589,-1.420412620620403,0.15548759071838908,0.8543393345282944,0.5301939141652037,99
T10_yield,10-Year Treasury Yield,deficit_pct_GDP,Deficit (% GDP),Model 1: Fiscal,-0.008875677714980275,0.09320432488504905,-0.09522817450721137,0.9241335916520939,0.8485116432734064,0.4925874410355924,99
fwd_10_15y,10-15 Year Forward Rate,debt_pct_GDP,Debt (% GDP),Model 1: Fiscal,0.007173729525338673,0.012388709999832392,0.5790537937715652,0.5625528763498022,0.8722435836401485,0.5358217321799265,77
fwd_10_15y,10-15 Year Forward Rate,deficit_pct_GDP,Deficit (% GDP),Model 1: Fiscal,-0.13988960337204756,0.07314872868800813,-1.9123996531600802,0.055824952455862074,0.8797770591598726,0.5146123154419397,77
fwd_5_10y,5-10 Year Forward Rate,debt_pct_GDP,Debt (% GDP),Model 1: Fiscal,-0.00116209232864301,0.01322441915605166,-0.08787473498306517,0.9299762374684948,0.8750605730527589,0.5816210754312495,77
fwd_5_10y,5-10 Year Forward Rate,deficit_pct_GDP,Deficit (% GDP),Model 1: Fiscal,-0.11121330484429011,0.09054713701078591,-1.2282365684410592,0.21935817487780584,0.8800084640012731,0.5435337504028004,77
tprem_10y,10-Year Term Premium,debt_pct_GDP,Debt (% GDP),Model 1: Fiscal,0.018310810871116537,0.012470718424308327,1.4683044110293209,0.14202155329693453,0.6518219435066002,0.37357355963471406,99
tprem_10y,10-Year Term Premium,deficit_pct_GDP,Deficit (% GDP),Model 1: Fiscal,-0.20797859699111157,0.06959155513178177,-2.9885608476096523,0.002802946824566134,0.686735304844859,0.39766775520979264,99
tprem_5y,5-Year Term Premium,debt_pct_GDP,Debt (% GDP),Model 1: Fiscal,0.01352716640664386,0.009439532358643827,1.433033533092025,0.15184825449354386,0.6557885303045925,0.42141239232692096,99
tprem_5y,5-Year Term Premium,deficit_pct_GDP,Deficit (% GDP),Model 1: Fiscal,-0.16727994967404147,0.0521020214436612,-3.21062302457735,0.0013244756079887647,0.698638777980122,0.44298417091475617,99
